Vastus medialis (mV)	Time (ms)
-0.0203	0.001
-0.0218	0.002
-0.0203	0.003
-0.0181	0.004
-0.0165	0.005
-0.0098	0.006
-0.0098	0.007
-0.0113	0.008
-0.0128	0.009
-0.0113	0.01
-0.0098	0.011
-0.0143	0.012
-0.0135	0.013
-0.012	0.014
-0.0091	0.015
-0.0083	0.016
-0.0083	0.017
-0.0098	0.018
-0.0165	0.019
-0.0203	0.02
-0.0248	0.021
-0.0218	0.022
-0.0203	0.023
-0.0203	0.024
-0.0135	0.025
-0.0105	0.026
-0.0068	0.027
-0.0105	0.028
-0.015	0.029
-0.0165	0.03
-0.0158	0.031
-0.0158	0.032
-0.024	0.033
-0.0256	0.034
-0.027	0.035
-0.027	0.036
-0.0263	0.037
-0.0308	0.038
-0.027	0.039
-0.024	0.04
-0.0233	0.041
-0.0256	0.042
-0.0263	0.043
-0.0218	0.044
-0.0195	0.045
-0.015	0.046
-0.012	0.047
-0.0128	0.048
-0.0143	0.049
-0.015	0.05
-0.0195	0.051
-0.0218	0.052
-0.0173	0.053
-0.0158	0.054
-0.0128	0.055
-0.0091	0.056
-0.0046	0.057
-0.0046	0.058
-0.0068	0.059
-0.0015	0.06
0.0052	0.061
0.0052	0.062
-0.0038	0.063
-0.003	0.064
-0.003	0.065
-0.0091	0.066
-0.0173	0.067
-0.0293	0.068
-0.0346	0.069
-0.0383	0.07
-0.033	0.071
-0.0263	0.072
-0.024	0.073
-0.0195	0.074
-0.0128	0.075
-0.0068	0.076
-0.0135	0.077
-0.015	0.078
-0.0105	0.079
-0.0143	0.08
-0.0143	0.081
-0.0188	0.082
-0.024	0.083
-0.0256	0.084
-0.024	0.085
-0.0218	0.086
-0.0181	0.087
-0.0165	0.088
-0.0195	0.089
-0.0195	0.09
-0.0135	0.091
-0.0075	0.092
-0.0015	0.093
0.009	0.094
0.0157	0.095
0.0082	0.096
0.0007	0.097
-0.0105	0.098
-0.0233	0.099
-0.0278	0.1
-0.0308	0.101
-0.0293	0.102
-0.0285	0.103
-0.0278	0.104
-0.0256	0.105
-0.0256	0.106
-0.0233	0.107
-0.0233	0.108
-0.024	0.109
-0.0195	0.11
-0.0158	0.111
-0.012	0.112
-0.0083	0.113
-0.0091	0.114
-0.0091	0.115
-0.0098	0.116
-0.0075	0.117
-0.0091	0.118
-0.0128	0.119
-0.0128	0.12
-0.0143	0.121
-0.0158	0.122
-0.0188	0.123
-0.0181	0.124
-0.0135	0.125
-0.0158	0.126
-0.0158	0.127
-0.0083	0.128
-0.0075	0.129
-0.0083	0.13
-0.0053	0.131
-0.0075	0.132
-0.012	0.133
-0.0181	0.134
-0.0173	0.135
-0.0135	0.136
-0.0143	0.137
-0.0143	0.138
-0.0181	0.139
-0.0218	0.14
-0.0256	0.141
-0.0256	0.142
-0.0233	0.143
-0.0225	0.144
-0.0195	0.145
-0.0195	0.146
-0.0218	0.147
-0.0181	0.148
-0.0083	0.149
0.0052	0.15
0.0082	0.151
0.0037	0.152
0.0007	0.153
-0.0158	0.154
-0.03	0.155
-0.039	0.156
-0.0443	0.157
-0.0398	0.158
-0.039	0.159
-0.0353	0.16
-0.033	0.161
-0.0293	0.162
-0.0308	0.163
-0.0346	0.164
-0.0308	0.165
-0.0285	0.166
-0.0195	0.167
-0.0068	0.168
-0.003	0.169
0.0	0.17
0.0045	0.171
0.0142	0.172
0.021	0.173
0.0127	0.174
-0.003	0.175
-0.0165	0.176
-0.0323	0.177
-0.0375	0.178
-0.0383	0.179
-0.0428	0.18
-0.0428	0.181
-0.0405	0.182
-0.0285	0.183
-0.0158	0.184
0.0052	0.185
0.0255	0.186
0.0277	0.187
0.0142	0.188
-0.0046	0.189
-0.0143	0.19
-0.0218	0.191
-0.0233	0.192
-0.021	0.193
-0.0233	0.194
-0.0225	0.195
-0.0233	0.196
-0.0218	0.197
-0.012	0.198
-0.003	0.199
-0.003	0.2
-0.0105	0.201
-0.0218	0.202
-0.0315	0.203
-0.0338	0.204
-0.0353	0.205
-0.0308	0.206
-0.015	0.207
-0.0091	0.208
-0.0105	0.209
-0.0143	0.21
-0.015	0.211
-0.0143	0.212
-0.0165	0.213
-0.0105	0.214
-0.0105	0.215
-0.0143	0.216
-0.0128	0.217
-0.0135	0.218
-0.0113	0.219
-0.0158	0.22
-0.024	0.221
-0.0293	0.222
-0.0293	0.223
-0.0308	0.224
-0.0308	0.225
-0.0225	0.226
-0.0113	0.227
-0.0068	0.228
-0.0091	0.229
-0.0128	0.23
-0.012	0.231
-0.0008	0.232
0.0045	0.233
0.006	0.234
-0.0015	0.235
-0.0158	0.236
-0.0233	0.237
-0.0315	0.238
-0.039	0.239
-0.0428	0.24
-0.0405	0.241
-0.0308	0.242
-0.0218	0.243
-0.0173	0.244
0.0	0.245
0.024	0.246
0.0217	0.247
0.012	0.248
-0.0008	0.249
-0.0256	0.25
-0.0308	0.251
-0.0323	0.252
-0.0278	0.253
-0.0165	0.254
-0.0113	0.255
-0.0068	0.256
-0.0143	0.257
-0.0233	0.258
-0.0233	0.259
-0.027	0.26
-0.0293	0.261
-0.0293	0.262
-0.024	0.263
-0.0165	0.264
-0.0053	0.265
