VaMe,time
0.0682,0.345
0.0607,0.346
0.06,0.347
0.0292,0.348
0.0367,0.349
0.0345,0.35
0.0465,0.351
0.0577,0.352
0.0292,0.353
0.0195,0.354
-0.0218,0.355
-0.0458,0.356
-0.0653,0.357
-0.0728,0.358
-0.0405,0.359
-0.0008,0.36
0.0502,0.361
0.0532,0.362
0.0517,0.363
0.0442,0.364
0.03,0.365
0.0352,0.366
0.0217,0.367
0.0202,0.368
0.0067,0.369
-0.0075,0.37
-0.012,0.371
-0.0195,0.372
-0.0181,0.373
-0.0248,0.374
-0.015,0.375
0.0097,0.376
0.03,0.377
0.0442,0.378
0.0495,0.379
0.033,0.38
0.012,0.381
0.0007,0.382
-0.0218,0.383
-0.0473,0.384
-0.063,0.385
-0.0608,0.386
-0.0338,0.387
0.0232,0.388
0.054,0.389
0.0765,0.39
0.1065,0.391
0.0915,0.392
0.0712,0.393
0.0285,0.394
-0.0308,0.395
-0.0863,0.396
-0.1275,0.397
-0.1508,0.398
-0.1838,0.399
-0.1838,0.4
-0.15,0.401
-0.0915,0.402
-0.0361,0.403
-0.0008,0.404
0.048,0.405
0.0997,0.406
0.1402,0.407
0.1642,0.408
0.1537,0.409
0.111,0.41
0.0487,0.411
0.0052,0.412
-0.0248,0.413
-0.0555,0.414
-0.0518,0.415
-0.0233,0.416
0.012,0.417
0.015,0.418
0.0232,0.419
0.0367,0.42
0.0052,0.421
0.0045,0.422
-0.0038,0.423
-0.0203,0.424
-0.0413,0.425
-0.0668,0.426
-0.0518,0.427
-0.0225,0.428
0.0345,0.429
0.075,0.43
0.0877,0.431
0.0967,0.432
0.0892,0.433
0.0795,0.434
0.0802,0.435
0.0615,0.436
0.0232,0.437
-0.024,0.438
-0.0735,0.439
-0.09,0.44
-0.0691,0.441
-0.033,0.442
-0.012,0.443
-0.0068,0.444
-0.0225,0.445
-0.0525,0.446
-0.0728,0.447
-0.0825,0.448
-0.0691,0.449
-0.0315,0.45
-0.0008,0.451
0.015,0.452
0.012,0.453
0.012,0.454
0.009,0.455
0.0127,0.456
0.0442,0.457
0.057,0.458
0.072,0.459
0.0817,0.46
0.09,0.461
0.1065,0.462
0.1087,0.463
0.105,0.464
0.072,0.465
0.027,0.466
-0.0293,0.467
-0.1103,0.468
-0.2085,0.469
-0.2633,0.47
-0.2363,0.471
-0.1448,0.472
-0.006,0.473
0.0892,0.474
0.1357,0.475
0.129,0.476
0.0667,0.477
0.0285,0.478
-0.0173,0.479
-0.0675,0.48
-0.0885,0.481
-0.0555,0.482
0.0127,0.483
0.0877,0.484
0.1522,0.485
0.1702,0.486
0.1522,0.487
0.1192,0.488
0.0855,0.489
0.0142,0.49
-0.078,0.491
-0.1665,0.492
-0.2378,0.493
-0.2573,0.494
-0.2273,0.495
