VaMe,time
0.001527853575026235,0.001
0.001667884164217871,0.002
0.0018074919240429201,0.003
0.0019465507512775254,0.004
0.002084935189217247,0.005
0.0022225207059599164,0.006
0.0023591836972451864,0.007
0.002494801408673039,0.008
0.002629252051484069,0.009
0.0027624153385300836,0.01
0.002894173467305859,0.011
0.003024412279178356,0.012
0.0031530220625726126,0.013
0.003279897388877532,0.014
0.0034049356574807747,0.015
0.0035280351214388678,0.016
0.003649094397314427,0.017
0.0037680145359480196,0.018
0.00388470228131624,0.019
0.003999072570278146,0.02
0.004111049529238947,0.021
0.004220566045958647,0.022
0.004327562194619227,0.023
0.0044319827681094555,0.024
0.004533774332507575,0.025
0.004632883027238609,0.026
0.004729254701649658,0.027
0.004822837531105166,0.028
0.004913585548893223,0.029
0.005001461551737399,0.03
0.005086438695187245,0.031
0.005168500570932386,0.032
0.005247639801279263,0.033
0.005323855401429811,0.034
0.005397149284029192,0.035
0.005467522790581256,0.036
0.005534975009610961,0.037
0.0055995038430471,0.038
0.005661108451938459,0.039
0.005719791154305762,0.04
0.0057755581488140575,0.041
0.005828419386790637,0.042
0.005878388222557301,0.043
0.005925481442077063,0.044
0.00596971990885004,0.045
0.006011129557156621,0.046
0.006049742047590861,0.047
0.00608559427758185,0.048
0.006118726182841042,0.049
0.006149177548980267,0.05
0.006176986572943212,0.051
0.006202192166849028,0.052
0.006224838437188796,0.053
0.006244978557659737,0.054
0.006262676797125104,0.055
0.006278008541896094,0.056
0.006291058479423453,0.057
0.006301917342587575,0.058
0.006310677886047179,0.059
0.006317431433576722,0.06
0.006322266708316287,0.061
0.006325271258937339,0.062
0.0063265338684198895,0.063
0.006326146357381908,0.064
0.0063242043237024,0.065
0.006320806857343582,0.066
0.006316055332462381,0.067
0.006310051460143479,0.068
0.006302895000634617,0.069
0.006294681933810153,0.07
0.006285503856083487,0.071
0.006275448429115129,0.072
0.006264599909888828,0.073
0.0062530390947277865,0.074
0.006240842699635043,0.075
0.006228082649472673,0.076
0.006214825925452752,0.077
0.006201135204369267,0.078
0.006187069843901115,0.079
0.006172686651467684,0.08
0.006158040148083978,0.081
0.006143182180604635,0.082
0.006128161036978476,0.083
0.006113020934238016,0.084
0.006097802873153521,0.085
0.0060825467877418295,0.086
0.006067294010079148,0.087
0.006052089158586101,0.088
0.0060369809229862586,0.089
0.006022021458262934,0.09
0.006007264369662727,0.091
0.005992762013141174,0.092
0.005978563872440176,0.093
0.0059647171548504576,0.094
0.005951268531887015,0.095
0.005938265255653248,0.096
0.005925755038703481,0.097
0.005913785001672722,0.098
0.005902400233504088,0.099
0.0058916424617728716,0.1
0.0058815491189342095,0.101
0.005872152858324913,0.102
0.005863481425772782,0.103
0.005855557730299188,0.104
0.005848399928075435,0.105
0.005842021354169881,0.106
0.005836430360578213,0.107
0.005831630438002606,0.108
0.005827620864847115,0.109
0.005824397597346245,0.11
0.005821953932528675,0.111
0.005820280715412623,0.112
0.005819366091223566,0.113
0.005819194911544234,0.114
0.005819747974038507,0.115
0.005821001443091092,0.116
0.0058229269587758885,0.117
0.005825492699199827,0.118
0.005828665149542404,0.119
0.005832411078039785,0.12
0.005836699218278886,0.121
0.005841501199831194,0.122
0.005846791399744825,0.123
0.005852545599229094,0.124
0.005858738838831954,0.125
0.005865343852271185,0.126
0.005872331646544762,0.127
