VaMe,time
0.0255,0.001
0.0165,0.002
0.018,0.003
0.009,0.004
-0.0075,0.005
-0.012,0.006
-0.0143,0.007
-0.0143,0.008
-0.0165,0.009
-0.0225,0.01
-0.0278,0.011
-0.0263,0.012
-0.024,0.013
-0.0285,0.014
-0.0511,0.015
-0.0668,0.016
-0.0413,0.017
-0.0083,0.018
0.0225,0.019
0.0495,0.02
0.06,0.021
0.0495,0.022
0.0307,0.023
0.0427,0.024
0.0525,0.025
0.0442,0.026
0.0262,0.027
0.003,0.028
0.0052,0.029
0.0067,0.03
-0.0135,0.031
-0.0293,0.032
-0.0293,0.033
-0.0248,0.034
-0.0225,0.035
-0.0285,0.036
-0.015,0.037
0.0052,0.038
0.0135,0.039
0.015,0.04
0.0105,0.041
0.0067,0.042
0.0097,0.043
0.0142,0.044
0.021,0.045
0.018,0.046
0.0007,0.047
-0.003,0.048
-0.012,0.049
-0.0173,0.05
-0.015,0.051
-0.0158,0.052
-0.0113,0.053
-0.0075,0.054
-0.0158,0.055
-0.0428,0.056
-0.042,0.057
-0.0143,0.058
0.0007,0.059
0.0052,0.06
-0.006,0.061
-0.0023,0.062
0.0142,0.063
0.033,0.064
0.048,0.065
0.0352,0.066
0.0232,0.067
0.0097,0.068
0.0082,0.069
0.0165,0.07
0.0067,0.071
-0.0083,0.072
-0.0195,0.073
-0.021,0.074
-0.0195,0.075
-0.027,0.076
-0.0338,0.077
-0.021,0.078
-0.012,0.079
-0.0248,0.08
-0.0188,0.081
0.0232,0.082
0.0427,0.083
0.0315,0.084
0.033,0.085
0.0202,0.086
0.0202,0.087
0.0427,0.088
0.033,0.089
0.0202,0.09
-0.0053,0.091
-0.006,0.092
0.0165,0.093
0.009,0.094
0.003,0.095
-0.003,0.096
0.0015,0.097
0.0015,0.098
-0.003,0.099
0.0052,0.1
0.0022,0.101
-0.0105,0.102
-0.0225,0.103
-0.027,0.104
-0.027,0.105
-0.0158,0.106
-0.012,0.107
-0.015,0.108
-0.003,0.109
0.0082,0.11
-0.0053,0.111
-0.039,0.112
-0.0398,0.113
-0.0195,0.114
-0.0075,0.115
-0.0091,0.116
-0.0008,0.117
0.0105,0.118
-0.0015,0.119
0.0202,0.12
0.0405,0.121
0.0105,0.122
-0.0091,0.123
0.0127,0.124
0.0232,0.125
-0.0053,0.126
-0.039,0.127
-0.0593,0.128
-0.0346,0.129
-0.0023,0.13
0.0052,0.131
0.0105,0.132
-0.0075,0.133
-0.0195,0.134
-0.0143,0.135
0.0007,0.136
0.0165,0.137
0.0187,0.138
