VaMe,time
2.8897013874831034e-05,0.001
-0.0011017753598486534,0.002
-0.0022708885555952165,0.003
-0.0034688722621269443,0.004
-0.004603727684365878,0.005
-0.005515172432162969,0.006
-0.006036629292539306,0.007
-0.006070938773280252,0.008
-0.0056207075245359095,0.009
-0.004754007277710281,0.01
-0.0035584720368111197,0.011
-0.002138065759911213,0.012
-0.0006342816266354533,0.013
0.0007674469236167203,0.014
0.0018720214760495925,0.015
0.002546439071345459,0.016
0.002779342754065473,0.017
0.0026732074820618804,0.018
0.0023624921582727754,0.019
0.0019283159642810963,0.02
0.001379198946570611,0.021
0.0006943898493315163,0.022
-0.00010579933591240746,0.023
-0.0009095491678531944,0.024
-0.0015217892846308505,0.025
-0.0017336440634403171,0.026
-0.0014267472428873785,0.027
-0.000653248083147307,0.028
0.00037079916491143113,0.029
0.0013507320454139754,0.03
0.002006105729362839,0.031
0.0021299315141960788,0.032
0.0016313610504239508,0.033
0.0005759347814077974,0.034
-0.0007956157238230478,0.035
-0.0021021069892971102,0.036
-0.002930508173239908,0.037
-0.0029922111074782245,0.038
-0.002242418798388022,0.039
-0.0008897268659461716,0.04
0.0006930756760556081,0.041
0.0020996170608804272,0.042
0.0030158818692105687,0.043
0.0033033673127232316,0.044
0.0030181277806914136,0.045
0.002366726326252441,0.046
0.0016155026570655474,0.047
0.0009949066922371776,0.048
0.0006344090266087412,0.049
0.0005323486367966945,0.05
0.0005597821662907043,0.051
0.0005033114762000009,0.052
0.00015200914766458565,0.053
-0.000596596814435915,0.054
-0.0016755429943396175,0.055
-0.0028638278082579105,0.056
-0.003855467494122877,0.057
-0.004362900065349638,0.058
-0.00422597273156171,0.059
-0.003464569259900912,0.06
-0.002246959403009056,0.061
-0.0008149172530096957,0.062
0.0005790706345087442,0.063
0.0017118624190288155,0.064
0.0024297028745686004,0.065
0.002682332172154491,0.066
0.0025206128231727142,0.067
0.0020579510196464474,0.068
0.0014257558189489073,0.069
0.0007414138081541895,0.07
9.928958166223868e-05,0.071
-0.00040836466994639684,0.072
-0.0006788067769605342,0.073
-0.0006340973354607806,0.074
-0.0002736154228250922,0.075
0.000309005325426923,0.076
0.0009533397096193278,0.077
0.0014823033287757795,0.078
0.0017586482621523745,0.079
0.0017366210835026144,0.08
0.0014869304966682584,0.081
0.0011605232041545417,0.082
0.0008954669376988654,0.083
0.0007353346777850875,0.084
0.0006105012368650343,0.085
0.0003834436206726314,0.086
-6.833892084746464e-05,0.087
-0.0007833951686258795,0.088
-0.0016999213071528633,0.089
-0.0026823443266460498,0.09
-0.0035576954366033286,0.091
-0.0041494022632925405,0.092
-0.0043113739252975975,0.093
-0.003954548332292843,0.094
