VaMe,time
2.1002966621588304e-05,0.001
0.0008616682894811033,0.002
0.0017413462500166649,0.003
0.0025909147864840577,0.004
0.0032099183624694325,0.005
0.0033602727452945605,0.006
0.002917068779423735,0.007
0.001962481840568593,0.008
0.0007706277061250557,0.009
-0.000296689895775576,0.01
-0.0009350386732342482,0.011
-0.0010156208208463484,0.012
-0.0006162354568308757,0.013
3.777321667127708e-05,0.014
0.0006726735863764325,0.015
0.0010663592956690602,0.016
0.0011242193688709293,0.017
0.000890467900773959,0.018
0.0004858057950255131,0.019
2.4817755197116295e-05,0.02
-0.00042457072901903664,0.021
-0.0008273298190769507,0.022
-0.0011501392799363038,0.023
-0.0013524463752189854,0.024
-0.0014156225691250557,0.025
-0.001372425963428501,0.026
-0.00127432219040348,0.027
-0.001129730029816805,0.028
-0.000896049057807514,0.029
-0.0005167440003629205,0.03
4.7277232557899304e-05,0.031
0.0007955933302135562,0.032
0.001663103641828234,0.033
0.0025082451361140507,0.034
0.0031340079111925835,0.035
0.0033344092048850195,0.036
0.0029671461788639566,0.037
0.0020420330618903964,0.038
0.0007557321072826959,0.039
-0.0005748220361016289,0.04
-0.0016450818956639643,0.041
-0.0022907759245550607,0.042
-0.002531997535821436,0.043
-0.0024977385043453296,0.044
-0.002309438923853034,0.045
-0.0020361594186424016,0.046
-0.0017200256711326714,0.047
-0.001400136244778535,0.048
-0.0011146217016248523,0.049
-0.0008901225828893497,0.05
-0.0007223752639347323,0.051
-0.0005722269099477474,0.052
-0.0004012293111060429,0.053
-0.00022110184318083762,0.054
-0.00010086294824626966,0.055
-0.00012122683732380794,0.056
-0.00031632230412267047,0.057
-0.0006357940179733107,0.058
-0.0009469754290233704,0.059
-0.001083283902108556,0.06
-0.0009145399799839798,0.061
-0.00041407515311092175,0.062
0.00029365333452292813,0.063
0.0009467976121718412,0.064
0.0012584650956637465,0.065
0.0010871125415670513,0.066
0.0005519542679849873,0.067
3.836583960970127e-06,0.068
-0.00013723093274937707,0.069
0.00041830648999322234,0.07
0.0017007015417067968,0.071
0.0034663864157517548,0.072
0.005279539517540391,0.073
0.006654348812061143,0.074
0.007190172502040955,0.075
0.006652535689968615,0.076
0.005031218603220182,0.077
0.0025659216607280227,0.078
-0.0003245858769594308,0.079
-0.0031814106686755914,0.08
-0.00562278839006842,0.081
-0.007396635116762813,0.082
-0.008367940485822251,0.083
-0.008479265301028367,0.084
-0.007734613935727011,0.085
-0.006204705292606319,0.086
-0.004034094865261414,0.087
-0.001462962720628254,0.088
0.0011565310581757205,0.089
0.0034225430552670406,0.09
0.005019289650840281,0.091
0.005806879811381818,0.092
0.005805154467152936,0.093
0.005135482580275323,0.094
0.003979395360652097,0.095
0.0025523080222300343,0.096
0.0010673437529340856,0.097
-0.00031558124202831444,0.098
-0.0015176786656999116,0.099
-0.002529678411848675,0.1
-0.0033878122844781507,0.101
-0.004134775170217166,0.102
-0.004755710468074005,0.103
-0.005136925391547283,0.104
-0.0051014347697216685,0.105
-0.004504171496351933,0.106
-0.0033112992186815414,0.107
-0.001615810532634961,0.108
0.0003842950007907655,0.109
0.0024079786860062373,0.11
0.00413003950903582,0.111
0.005263407589562305,0.112
0.005655066399374505,0.113
0.005335917088352562,0.114
0.004493949562813784,0.115
0.003381668399776588,0.116
0.0022043088981107736,0.117
0.0010592472188791263,0.118
-3.3982168483439305e-05,0.119
-0.001056035293012702,0.12
-0.0019425366256123398,0.121
-0.002609629882717097,0.122
-0.0030191995400503445,0.123
-0.00320644585700402,0.124
-0.0032351867180175266,0.125
-0.0031350021067527933,0.126
-0.0028786245791048983,0.127
-0.002395176620411392,0.128
-0.0016000277430407892,0.129
-0.0004505636110047294,0.13
0.0009815010143701763,0.131
0.0024758776593493048,0.132
0.0037165825388119646,0.133
0.00441708121966524,0.134
0.004432063975905833,0.135
0.0037942036563030283,0.136
0.002699665811772164,0.137
0.0014639297003419159,0.138
0.0004270239258826773,0.139
-0.00017768967852921743,0.14
-0.0003211629149548212,0.141
-0.0001765429657578918,0.142
-9.952344709634601e-06,0.143
-3.4549516332351966e-05,0.144
-0.00032526212841940916,0.145
-0.0008356788918621313,0.146
-0.0014755157041711339,0.147
-0.0021663159502874046,0.148
-0.002835354179968124,0.149
-0.0033881026980786505,0.15
-0.0037064174450890316,0.151
-0.00367289462396951,0.152
-0.0032150995076996817,0.153
-0.0023515082273186734,0.154
-0.001199792008600122,0.155
5.8146000470677786e-05,0.156
0.0012240824581461176,0.157
0.002114742814610153,0.158
0.002575126440371151,0.159
0.0025020636040281753,0.16
0.0018827428023284012,0.161
0.0008191271053093592,0.162
-0.00048096156455835673,0.163
-0.001742551154230364,0.164
-0.0026807533722699784,0.165
-0.0030590188807284343,0.166
-0.0027271096202418368,0.167
-0.0016463627304186272,0.168
7.942887354667561e-05,0.169
0.002186970077876231,0.17
0.00428520791242885,0.171
0.0059468164379697696,0.172
0.0068368755096848725,0.173
0.006822915642597562,0.174
0.006001492688820926,0.175
0.004629041498830164,0.176
0.003005615740599193,0.177
0.0013704904420838004,0.178
-0.00014293931585450203,0.179
-0.0014885392921307173,0.18
-0.0026686333755567564,0.181
-0.0037053391773310606,0.182
-0.004615944967590584,0.183
-0.005378818690337706,0.184
-0.005899894688954913,0.185
-0.006020337342416916,0.186
-0.005590114654667293,0.187
-0.004573733410806369,0.188
-0.00311346815016401,0.189
-0.0014882189126178991,0.19
1.2975646867952426e-05,0.191
0.0012047108972849205,0.192
0.0020286036280767303,0.193
0.0024966976074210934,0.194
0.002625101131993999,0.195
0.002418626277475998,0.196
0.0019059360780118474,0.197
0.0011683787502170017,0.198
0.0003227956993578464,0.199
-0.0005118758541348146,0.2
-0.001222683105217746,0.201
-0.0017012309288283233,0.202
-0.0018615325897868831,0.203
-0.0016612654332998447,0.204
-0.0011142194129604341,0.205
-0.0003054205121919264,0.206
0.0006152680273289881,0.207
0.0014862246974032115,0.208
0.002197362657770081,0.209
0.0027177414633831483,0.21
0.0030840602013231895,0.211
0.003362395055439074,0.212
0.0035894714433012107,0.213
0.0037339918029013746,0.214
0.003724727070733926,0.215
0.0034979765488931977,0.216
0.0029979780007447616,0.217
0.00216950061162818,0.218
0.000994118937787843,0.219
-0.0004646575919597924,0.22
-0.0020551043277908317,0.221
-0.0035713956412452594,0.222
-0.004807936936863661,0.223
-0.005611410545990802,0.224
-0.005909269649506034,0.225
-0.005704226896147233,0.226
-0.005049179091839964,0.227
-0.004032227095367336,0.228
-0.0027797075073640563,0.229
-0.0014487728153963293,0.23
-0.00019938872587188123,0.231
0.0008258969489954228,0.232
0.0015234594550733156,0.233
0.001872156201413572,0.234
0.0019482909575302854,0.235
0.0018684613586782868,0.236
0.0017101440946349173,0.237
0.001494079319644818,0.238
0.0012417392922133498,0.239
0.0010237952929061736,0.24
0.0009334326736763015,0.241
0.001022094674952694,0.242
0.0012595147813964603,0.243
0.0015430663441175542,0.244
0.0017558964014128384,0.245
0.001833597455056407,0.246
0.001788991632160829,0.247
0.001681930610786462,0.248
0.001546499764154255,0.249
0.0013242691658139824,0.25
0.0008741606345208502,0.251
7.421221938950235e-05,0.252
-0.0010494798491463625,0.253
-0.00226987528582192,0.254
-0.003243924647834449,0.255
-0.0036786949452966345,0.256
-0.003445943384477666,0.257
-0.0025857147562983987,0.258
-0.0012552455108133615,0.259
0.00031255113627233396,0.26
0.0018351902658020039,0.261
0.0030155954980289625,0.262
0.0036014928614081553,0.263
0.0034574477082603495,0.264
0.002616247520295777,0.265
0.0012816735550855544,0.266
-0.0002355845041720149,0.267
-0.0016348730172141737,0.268
-0.0027240224660919684,0.269
-0.0034458645868630407,0.27
-0.003847213699987078,0.271
-0.0040209277233719505,0.272
-0.0040390876154029,0.273
-0.003903649648950044,0.274
-0.0035532121968047297,0.275
-0.0029235400080787144,0.276
-0.002007026788896216,0.277
-0.0008737016970486359,0.278
0.00034588253265673306,0.279
0.0015002883151911208,0.28
0.002462370032526443,0.281
0.003171639437196351,0.282
0.0036537436282511023,0.283
0.003986076408825204,0.284
0.004217655046917964,0.285
0.004315041390623574,0.286
0.004192018093108502,0.287
0.003780007726553456,0.288
0.0030711202070132534,0.289
0.0021186347099292646,0.29
0.001002236230403763,0.291
-0.0001992233729607627,0.292
-0.0013838335132928224,0.293
-0.0023911521399600125,0.294
-0.0030177119374271764,0.295
-0.003089032698087441,0.296
-0.0025552168774712037,0.297
-0.0015507492423777627,0.298
-0.00036675420528267704,0.299
0.0006543698544882483,0.3
0.001247803029301996,0.301
0.0013109986231897835,0.302
0.0009032983756601258,0.303
0.00018032726779370261,0.304
-0.0006797945695191062,0.305
-0.0015075153264050946,0.306
-0.0021473117987049627,0.307
-0.002487110238891974,0.308
-0.002497148232398659,0.309
-0.002240600443206165,0.31
-0.0018461635182364096,0.311
-0.0014462715857580803,0.312
-0.0011182331040268437,0.313
-0.0008712890223535348,0.314
-0.0006658120077667817,0.315
-0.00044294749826322876,0.316
-0.0001637727505383568,0.317
0.0001777101559866489,0.318
0.0005853592648352371,0.319
0.0010766659360461103,0.32
0.0016465714936380173,0.321
0.0022301981797057573,0.322
0.0027188954509799156,0.323
0.0030134794017413345,0.324
0.003062286496771677,0.325
0.0028566444953862916,0.326
0.0024105909388625166,0.327
0.0017646960407957037,0.328
0.0010030649726041826,0.329
0.0002525158281048253,0.33
-0.0003487680632840138,0.331
-0.0007126322678457611,0.332
-0.0008616396112669516,0.333
-0.0009360333090517255,0.334
-0.001120861464619873,0.335
-0.0015341433200996104,0.336
-0.0021591839941248934,0.337
-0.0028652862446693675,0.338
-0.003479430759414214,0.339
-0.0038431667266177827,0.34
-0.0038451099033895895,0.341
-0.003453591360380267,0.342
-0.0027313106931023583,0.343
-0.0018014590421145172,0.344
-0.000790520383357223,0.345
0.00020708901841451756,0.346
0.0011342037370768107,0.347
0.00195942355620349,0.348
0.0026664756238909647,0.349
0.003258214294704376,0.35
0.0037539802548680677,0.351
0.004150133081184567,0.352
0.004382059248485572,0.353
0.004342374988713965,0.354
0.003936670485365505,0.355
0.0031370943435662367,0.356
0.002015023613288798,0.357
0.0007334529458463522,0.358
-0.0005047480102275966,0.359
-0.0015184929068359136,0.36
-0.002188175300739933,0.361
-0.0024804173488520535,0.362
-0.002458962471253251,0.363
-0.002267227870465169,0.364
-0.0020783190711371755,0.365
-0.002023253973940293,0.366
-0.002146277540553776,0.367
-0.0024185574548340944,0.368
-0.002766543359402979,0.369
-0.0030768591714861026,0.37
-0.0031954930164659425,0.371
-0.0029598723491726536,0.372
-0.0022775110496225863,0.373
-0.0011886997887216118,0.374
0.000155389930874109,0.375
0.0015578202192614158,0.376
0.002819725311894416,0.377
0.0037730312833654258,0.378
0.004315417213949885,0.379
0.004420826866596988,0.38
0.004109782725164586,0.381
0.0034160090212502696,0.382
0.0023919580909547915,0.383
0.0011349189591654014,0.384
-0.00021071357011671215,0.385
-0.0014718194438592032,0.386
-0.002456954045651772,0.387
-0.002979837077422181,0.388
-0.00292162444372718,0.389
-0.002292737545776228,0.39
-0.0012487695818657967,0.391
-4.9089148986996545e-05,0.392
0.0010237619363540388,0.393
0.0017358973708475446,0.394
0.0019372285846941037,0.395
0.001578096455635906,0.396
0.0007230815858185826,0.397
-0.0004544909316637326,0.398
-0.0017112375463363995,0.399
-0.002791902753183964,0.4
-0.003481916387804537,0.401
-0.003639098608520979,0.402
-0.003219663013458036,0.403
-0.002310801324235828,0.404
-0.0011315222999017294,0.405
3.73513503833108e-05,0.406
0.0009690495083677493,0.407
0.0015797333037307075,0.408
0.0019359721531075618,0.409
0.0021854186999049896,0.41
0.0024552732575855154,0.411
0.002781544761447366,0.412
0.0031072970806181816,0.413
0.0033257271812078253,0.414
0.0033291359360738313,0.415
0.0030404436311582553,0.416
0.002418603120596161,0.417
0.0014604764530075753,0.418
0.00021538993282072753,0.419
-0.0012079520740910163,0.42
-0.002648758152999315,0.421
-0.003904737030279323,0.422
-0.004763884073472575,0.423
-0.005062288750768736,0.424
-0.004731835232214439,0.425
-0.0038190307052008124,0.426
-0.0024774003501612358,0.427
-0.0009344379282243589,0.428
0.0005572135777213399,0.429
0.0017705569911053577,0.43
0.0025476438014162607,0.431
0.002831002030946215,0.432
0.0026742031278949134,0.433
0.002223563073969638,0.434
0.0016743397227662736,0.435
0.0012036321358196663,0.436
0.0009021658702666931,0.437
0.0007569983734685249,0.438
0.0006948999448633024,0.439
0.0006368088514505368,0.44
0.0005357882539114757,0.441
0.00039615813717853684,0.442
0.0002627453570847499,0.443
0.0001946945485224558,0.444
0.00023795043725583425,0.445
0.0003820062975178029,0.446
0.0005198043883530648,0.447
0.00046066826787906004,0.448
2.0630120225617318e-05,0.449
-0.0008466177931383733,0.45
-0.001982597409398039,0.451
-0.003080953968318987,0.452
-0.003806836228506482,0.453
-0.003904094035188822,0.454
-0.0032756770596118496,0.455
-0.0020354469405097783,0.456
-0.0005018074817579676,0.457
0.0008928059400690337,0.458
0.0017473178311863918,0.459
0.001840443495445579,0.46
0.0012184227308402792,0.461
0.0001522802468106886,0.462
-0.0009918798753213711,0.463
-0.0018565038326731373,0.464
-0.0021643223155630603,0.465
-0.0017950455818998216,0.466
-0.0008320729414248646,0.467
0.0004623445707205048,0.468
0.0017357446899151543,0.469
0.002660504719168681,0.47
0.003032240608837339,0.471
0.002824058387098391,0.472
0.0021834093616208868,0.473
0.0013593531678159209,0.474
0.0005859451151967026,0.475
-1.3867547585244172e-06,0.476
-0.000370856654874665,0.477
-0.0005501075197093553,0.478
-0.0005831453681272718,0.479
-0.0005101633619598032,0.48
-0.0003639282025175439,0.481
-0.00017229638891397097,0.482
3.7561869861413736e-05,0.483
0.00024221628176856254,0.484
0.0004317346324851689,0.485
0.00060779137588499,0.486
0.0007728211396962435,0.487
0.0009300403131948527,0.488
0.0010936013432716505,0.489
0.0012895444971588242,0.49
0.0015347310442178179,0.491
0.0018119642304665266,0.492
0.0020682163883344253,0.493
0.00223842815420853,0.494
0.0022658075310911492,0.495
0.002073532402323998,0.496
0.001515657134056785,0.497
0.00041219030222215295,0.498
-0.0013083396446991334,0.499
-0.003474877775175216,0.5
-0.005676695487899564,0.501
-0.007409593005596947,0.502
-0.0082630895048303,0.503
-0.008055334789568613,0.504
-0.006871259221146615,0.505
-0.004994735450582151,0.506
-0.0027905425205251026,0.507
-0.0006163820221457873,0.508
0.00122965162733852,0.509
0.002559890823465054,0.51
0.00332308561584983,0.511
0.00357378332586818,0.512
0.0034210113186351823,0.513
0.003001519937504728,0.514
0.00246930215830212,0.515
0.00197271446276706,0.516
0.0016215451560185918,0.517
0.001473349000087215,0.518
0.001538426376710388,0.519
0.0017753863050681531,0.52
0.0020952072115087007,0.521
0.0024041090991858,0.522
0.0026404913354390294,0.523
0.0027629257806066083,0.524
0.002734080764538445,0.525
0.002540085253272109,0.526
0.00220456377972218,0.527
0.0017601826757900581,0.528
0.0012125946930383995,0.529
0.0005349940818597253,0.53
-0.00030899340159439633,0.531
-0.0013293670115914493,0.532
-0.0024836820233783098,0.533
-0.003667948336496769,0.534
-0.004721861890399954,0.535
-0.005462145568605032,0.536
-0.005738343091869994,0.537
-0.005481573343763692,0.538
-0.004722157427761807,0.539
-0.0035692916840091237,0.54
-0.002177587872880032,0.541
-0.0007265884517603561,0.542
0.0005969982323936884,0.543
0.0016271840835093393,0.544
0.0022522325232488967,0.545
0.0024503550183058104,0.546
0.002312789198440244,0.547
0.002029816960988586,0.548
0.0018301726748619338,0.549
0.001886444268443113,0.55
0.0022253516911816696,0.551
0.002696535512085827,0.552
0.00303274562836874,0.553
0.002981759199438725,0.554
0.0024333067756619076,0.555
0.001463136659986646,0.556
0.000291956734021375,0.557
-0.0007933130102421805,0.558
-0.0015310903439058681,0.559
-0.001774808947304013,0.56
-0.001546042824031597,0.561
-0.001014727585600235,0.562
-0.00041289563767643724,0.563
5.331126360585495e-05,0.564
0.0002390168141658338,0.565
6.251628192412944e-05,0.566
-0.00048233138205654624,0.567
-0.001305633886399626,0.568
-0.002228016273117391,0.569
-0.003024846559251073,0.57
-0.003484263741319794,0.571
-0.003461396389571367,0.572
-0.0029180260825596082,0.573
-0.001931365236364028,0.574
-0.0006758434806306512,0.575
0.0006131824513865825,0.576
0.0016953482239379705,0.577
0.0023898709844737864,0.578
0.002624556585319959,0.579
0.0024490613504078973,0.58
0.0020087473197560523,0.581
0.0014872644605102704,0.582
0.0010425429569466478,0.583
0.0007674889621488626,0.584
0.0006768370832599188,0.585
0.0007075828475654395,0.586
0.0007396833360964592,0.587
0.0006459435694456102,0.588
0.0003532332000821548,0.589
-0.00011502329948389785,0.59
-0.0006303586018576096,0.591
-0.0009944408514539116,0.592
-0.00101440742115027,0.593
-0.0005862399843906623,0.594
0.00024608615218354703,0.595
0.001281340568464419,0.596
0.0022168867856037578,0.597
0.0027413338155447037,0.598
0.002624544168680391,0.599
0.0017865172332650122,0.6
0.0003237095395962844,0.601
-0.0015133926812052109,0.602
-0.0033752513171046465,0.603
-0.004890126926865177,0.604
-0.005747897398112083,0.605
-0.00576508889760055,0.606
-0.004913164067446684,0.607
-0.0033169233204987402,0.608
-0.0012438610460059083,0.609
0.0009260229883066297,0.61
0.0027837569581802037,0.611
0.004007993884245452,0.612
0.004447350359658286,0.613
0.004143007061800632,0.614
0.0033028736448460043,0.615
0.0022282000252245725,0.616
0.0012107262951062978,0.617
0.000451205785344745,0.618
3.679760579038412e-05,0.619
-3.7515149727183216e-05,0.62
0.0001528919794520485,0.621
0.00046841149589285706,0.622
0.0007256828673033404,0.623
0.0007552467431269565,0.624
0.0004549298878721442,0.625
-0.00020034243152378182,0.626
-0.001163930933772249,0.627
-0.002312008026051305,0.628
-0.0034424235820638225,0.629
-0.004298271136166085,0.63
-0.004621979146049322,0.631
-0.004227535547748253,0.632
-0.003066785160824004,0.633
-0.0012666555622419977,0.634
0.0008740285343253322,0.635
0.002936216217131106,0.636
0.004485293057158625,0.637
0.005199136294962851,0.638
0.004967801601068733,0.639
0.0039296892716494105,0.64
0.0024228319681745027,0.641
0.0008540966981228649,0.642
-0.00045697365620468055,0.643
-0.0013745604386271033,0.644
-0.001934357585650367,0.645
-0.0022568445478360773,0.646
-0.0024635400694907185,0.647
-0.0026242380002386807,0.648
-0.0027238282669942004,0.649
-0.002668442476108761,0.65
-0.0023543318697799714,0.651
-0.0017534727081494458,0.652
-0.0009372364769705352,0.653
-3.465724120197803e-05,0.654
0.0008122534876885202,0.655
0.0014662268779468295,0.656
0.0018062370272742773,0.657
0.0017604087545156006,0.658
0.0013590994584262931,0.659
0.0007610833257234694,0.66
0.00020630532736840598,0.661
-7.990556474585735e-05,0.662
3.822570144829553e-05,0.663
0.0005809222247992022,0.664
0.0014552266247999375,0.665
0.0024685347326544537,0.666
0.0033614524604308246,0.667
0.003870248997415547,0.668
0.0038029234221109683,0.669
0.0030957016415396085,0.67
0.001821420408730143,0.671
0.00015457365628299174,0.672
-0.0016633744945486187,0.673
-0.003342486400946423,0.674
-0.004578994500636246,0.675
-0.005126729462235877,0.676
-0.004881474140095015,0.677
-0.003925253078242514,0.678
-0.002498633779626126,0.679
-0.0009213763290420861,0.68
0.0004992456581585729,0.681
0.0015468104195347854,0.682
0.0021309754975936874,0.683
0.0022595320357189793,0.684
0.0019915211337507227,0.685
0.0014291000791011187,0.686
0.0007326946771373727,0.687
0.00011464302142497706,0.688
-0.00020770197192630305,0.689
-0.00010256003076190108,0.69
0.00038461740968075906,0.691
0.0010225823423796905,0.692
0.0014856394972657977,0.693
0.001470974543168881,0.694
0.0007816994431508502,0.695
-0.000632947043086659,0.696
-0.002664073580049274,0.697
-0.005035339540264058,0.698
-0.0073130765303956475,0.699
-0.008965136928592042,0.7
-0.009469747381564357,0.701
-0.0084560850392395,0.702
-0.005844089329446134,0.703
-0.001932828481205916,0.704
0.002621041272897787,0.705
0.006978946203415292,0.706
0.010384048007369783,0.707
0.012343582844141441,0.708
0.012658138311673124,0.709
0.011375101162654644,0.71
0.008750602146326794,0.711
0.005245743790191888,0.712
0.0015195654586739025,0.713
-0.0016741909054756427,0.714
-0.0037081165238327545,0.715
-0.00429245852104489,0.716
-0.0035557911396838877,0.717
-0.0019882981522423883,0.718
-0.000273922446147528,0.719
0.0009605027434718207,0.72
0.0013843654055353657,0.721
0.0010564065037511974,0.722
0.0003211696413368906,0.723
-0.000414392537116219,0.724
-0.0008789280340348867,0.725
-0.001011560298936125,0.726
-0.0009351702098860073,0.727
-0.0008829505751390565,0.728
-0.0010965436563947614,0.729
-0.0017376750416977843,0.73
-0.0028626066532567254,0.731
-0.004440431755335214,0.732
-0.006367683837229794,0.733
-0.00844996749047328,0.734
-0.010352494386141472,0.735
-0.011584542516066911,0.736
-0.011585726259711453,0.737
-0.009900576655775373,0.738
-0.006382109855625101,0.739
-0.001350522617430429,0.74
0.004390900284478333,0.741
0.009745250196854781,0.742
0.013670878753910468,0.743
0.01552724207058297,0.744
0.015241020197995234,0.745
0.01324623917022188,0.746
0.010271866028117919,0.747
0.007079903883572843,0.748
0.004249712863183085,0.749
0.002056256356660546,0.75
0.0004480060442324931,0.751
-0.0008677958921398109,0.752
-0.0022414132669832257,0.753
-0.0038664342031813534,0.754
-0.005660642137792119,0.755
-0.00731717084221861,0.756
-0.008451027806371103,0.757
-0.008728473358334297,0.758
-0.00796348524672461,0.759
-0.0061967339448021465,0.76
-0.003717402107985776,0.761
-0.0009797711196843565,0.762
0.0015460894529843096,0.763
0.003490234409854758,0.764
0.004638885169376273,0.765
0.004964790466989344,0.766
0.004618916514029677,0.767
0.0038582681689990064,0.768
0.0029544613161422654,0.769
0.0021368884629731745,0.77
0.0015566488049556031,0.771
