Vastus medialis (mV)	Time (ms)
-0.0458	0.001
-0.0495	0.002
-0.0488	0.003
-0.0353	0.004
-0.0233	0.005
-0.0098	0.006
0.0007	0.007
0.0165	0.008
0.0405	0.009
0.0607	0.01
0.078	0.011
0.066	0.012
0.0465	0.013
0.0277	0.014
0.0082	0.015
-0.0046	0.016
-0.024	0.017
-0.0368	0.018
-0.0338	0.019
-0.0256	0.02
-0.0181	0.021
-0.0181	0.022
-0.0188	0.023
-0.0203	0.024
-0.0173	0.025
-0.0098	0.026
-0.0008	0.027
0.0105	0.028
0.012	0.029
0.0105	0.03
0.0172	0.031
0.0142	0.032
-0.0008	0.033
-0.0203	0.034
-0.0383	0.035
-0.0398	0.036
-0.027	0.037
-0.021	0.038
-0.0105	0.039
0.003	0.04
0.0165	0.041
0.0277	0.042
0.0367	0.043
0.0465	0.044
0.0367	0.045
0.0262	0.046
0.0217	0.047
0.0112	0.048
0.0007	0.049
-0.0165	0.05
-0.033	0.051
-0.0405	0.052
-0.033	0.053
-0.0256	0.054
-0.0233	0.055
-0.012	0.056
-0.0053	0.057
-0.003	0.058
0.0007	0.059
-0.0008	0.06
0.0052	0.061
0.0165	0.062
0.0187	0.063
0.0135	0.064
0.0112	0.065
0.0127	0.066
0.0187	0.067
0.0232	0.068
0.018	0.069
0.0097	0.07
0.0105	0.071
0.0105	0.072
0.0135	0.073
0.0217	0.074
0.0255	0.075
0.0195	0.076
0.0127	0.077
0.0097	0.078
0.003	0.079
0.0007	0.08
-0.0046	0.081
-0.0105	0.082
-0.0181	0.083
-0.0315	0.084
-0.0361	0.085
-0.0346	0.086
-0.0248	0.087
-0.0233	0.088
-0.0233	0.089
-0.0165	0.09
-0.0083	0.091
-0.003	0.092
0.0	0.093
0.0105	0.094
0.0255	0.095
0.0315	0.096
0.0337	0.097
0.0352	0.098
0.0307	0.099
0.0232	0.1
0.006	0.101
-0.0053	0.102
-0.0068	0.103
-0.0083	0.104
-0.0098	0.105
-0.0143	0.106
-0.015	0.107
-0.0143	0.108
-0.012	0.109
-0.0083	0.11
-0.0046	0.111
0.0045	0.112
0.0082	0.113
0.0105	0.114
0.0082	0.115
0.0015	0.116
-0.0135	0.117
