Vastus medialis (mV)	Time (ms)
0.0322	0.001
0.024	0.002
0.0127	0.003
0.0022	0.004
-0.0015	0.005
-0.0038	0.006
-0.0083	0.007
-0.006	0.008
-0.0105	0.009
-0.0135	0.01
-0.0113	0.011
-0.0008	0.012
0.0097	0.013
0.009	0.014
0.0037	0.015
-0.0008	0.016
0.0	0.017
0.0015	0.018
0.0052	0.019
0.006	0.02
0.0045	0.021
-0.0015	0.022
-0.0008	0.023
0.0097	0.024
0.009	0.025
-0.0038	0.026
-0.003	0.027
-0.0008	0.028
-0.003	0.029
0.0007	0.03
0.0007	0.031
-0.0008	0.032
0.0052	0.033
0.024	0.034
0.0322	0.035
0.0367	0.036
0.0127	0.037
-0.0495	0.038
-0.0623	0.039
-0.0518	0.04
-0.0308	0.041
-0.003	0.042
0.0097	0.043
0.0232	0.044
0.0217	0.045
0.021	0.046
0.0082	0.047
0.0022	0.048
0.0165	0.049
0.0187	0.05
0.0067	0.051
0.0022	0.052
-0.0023	0.053
-0.0075	0.054
0.0495	0.055
0.0855	0.056
0.021	0.057
-0.0181	0.058
-0.0413	0.059
-0.0615	0.06
-0.0555	0.061
-0.0555	0.062
-0.0278	0.063
-0.0165	0.064
-0.0173	0.065
-0.0135	0.066
-0.024	0.067
-0.027	0.068
-0.0091	0.069
0.009	0.07
0.024	0.071
0.015	0.072
-0.0015	0.073
0.0262	0.074
0.027	0.075
0.027	0.076
0.0195	0.077
-0.0008	0.078
-0.0023	0.079
-0.0135	0.08
-0.0023	0.081
0.0075	0.082
0.0082	0.083
0.0	0.084
0.0067	0.085
0.024	0.086
0.0315	0.087
0.03	0.088
0.0142	0.089
0.0067	0.09
-0.0023	0.091
-0.0015	0.092
0.0082	0.093
0.018	0.094
0.0255	0.095
0.0135	0.096
-0.0098	0.097
-0.024	0.098
-0.0323	0.099
-0.0315	0.1
-0.0248	0.101
-0.0218	0.102
-0.0188	0.103
-0.0143	0.104
-0.0068	0.105
-0.0158	0.106
-0.0165	0.107
-0.0053	0.108
0.0007	0.109
0.0067	0.11
0.0045	0.111
0.003	0.112
0.0022	0.113
0.009	0.114
0.0232	0.115
0.0195	0.116
0.0165	0.117
0.024	0.118
0.0067	0.119
-0.0195	0.12
-0.0383	0.121
-0.0458	0.122
-0.0308	0.123
-0.0135	0.124
0.0015	0.125
0.0082	0.126
0.0082	0.127
0.0067	0.128
0.0105	0.129
0.012	0.13
0.0112	0.131
0.0217	0.132
0.021	0.133
0.024	0.134
0.0232	0.135
0.012	0.136
-0.0098	0.137
-0.0346	0.138
-0.0278	0.139
-0.0098	0.14
0.0075	0.141
0.0262	0.142
0.0307	0.143
0.0277	0.144
0.0195	0.145
0.0097	0.146
0.0	0.147
-0.0083	0.148
-0.0098	0.149
-0.0165	0.15
-0.0195	0.151
-0.0158	0.152
-0.0046	0.153
0.0157	0.154
0.0232	0.155
0.0105	0.156
-0.003	0.157
-0.0098	0.158
-0.0091	0.159
-0.0046	0.16
-0.0046	0.161
-0.0091	0.162
-0.0143	0.163
-0.0165	0.164
-0.0195	0.165
-0.015	0.166
-0.0068	0.167
0.003	0.168
0.0127	0.169
0.0157	0.17
0.0142	0.171
0.012	0.172
0.006	0.173
-0.0008	0.174
0.033	0.175
0.0885	0.176
0.0532	0.177
-0.0098	0.178
