VaMe,time
-0.0353,0.345
-0.0923,0.346
-0.1088,0.347
-0.078,0.348
-0.021,0.349
-0.0135,0.35
-0.0008,0.351
0.048,0.352
0.0307,0.353
-0.0293,0.354
-0.1065,0.355
-0.0915,0.356
-0.0015,0.357
0.0592,0.358
0.1275,0.359
0.1927,0.36
0.219,0.361
0.2152,0.362
0.1695,0.363
0.111,0.364
0.0255,0.365
-0.1583,0.366
-0.2955,0.367
-0.2813,0.368
-0.2078,0.369
-0.2258,0.37
-0.2723,0.371
-0.2183,0.372
-0.1185,0.373
0.0315,0.374
0.1612,0.375
0.2887,0.376
0.3637,0.377
0.3592,0.378
0.324,0.379
0.1717,0.38
-0.0915,0.381
-0.393,0.382
-0.5333,0.383
-0.4081,0.384
-0.21,0.385
-0.0938,0.386
-0.0285,0.387
0.0037,0.388
0.0465,0.389
0.138,0.39
0.1852,0.391
0.2017,0.392
0.2872,0.393
0.3435,0.394
0.261,0.395
0.0772,0.396
-0.075,0.397
-0.1245,0.398
-0.2063,0.399
-0.336,0.4
-0.3293,0.401
-0.1553,0.402
-0.063,0.403
-0.0248,0.404
0.027,0.405
0.0285,0.406
0.0607,0.407
0.0652,0.408
0.0637,0.409
0.0862,0.41
0.1327,0.411
0.1912,0.412
0.2167,0.413
0.2407,0.414
0.2992,0.415
0.303,0.416
0.15,0.417
-0.0758,0.418
-0.255,0.419
-0.2881,0.42
-0.246,0.421
-0.2768,0.422
-0.3173,0.423
-0.2348,0.424
-0.123,0.425
-0.06,0.426
-0.0181,0.427
0.0315,0.428
0.1177,0.429
0.1672,0.43
0.2047,0.431
0.2542,0.432
0.2685,0.433
0.303,0.434
0.2932,0.435
0.162,0.436
0.0322,0.437
-0.0413,0.438
-0.1426,0.439
-0.3128,0.44
-0.4568,0.441
-0.5265,0.442
-0.465,0.443
-0.2445,0.444
-0.114,0.445
-0.0465,0.446
0.033,0.447
0.0457,0.448
0.084,0.449
0.0885,0.45
0.0967,0.451
0.1222,0.452
0.1552,0.453
0.1905,0.454
0.1822,0.455
0.1875,0.456
0.1905,0.457
0.1702,0.458
0.063,0.459
-0.0608,0.46
-0.054,0.461
-0.0143,0.462
-0.0308,0.463
-0.078,0.464
-0.1021,0.465
-0.0511,0.466
0.006,0.467
0.0202,0.468
0.024,0.469
0.0337,0.47
0.0442,0.471
0.024,0.472
-0.0256,0.473
-0.1118,0.474
-0.1215,0.475
-0.075,0.476
-0.033,0.477
0.0682,0.478
0.0967,0.479
0.1005,0.48
0.1035,0.481
0.096,0.482
0.0802,0.483
0.0547,0.484
0.1027,0.485
0.0577,0.486
-0.0053,0.487
-0.108,0.488
-0.3038,0.489
-0.393,0.49
-0.3548,0.491
-0.1688,0.492
-0.0203,0.493
0.0315,0.494
0.054,0.495
0.051,0.496
0.0427,0.497
0.0405,0.498
0.0787,0.499
0.1027,0.5
0.135,0.501
0.1582,0.502
0.156,0.503
0.1537,0.504
0.1627,0.505
0.1447,0.506
0.0555,0.507
-0.0263,0.508
-0.1313,0.509
-0.2145,0.51
-0.2423,0.511
-0.1853,0.512
-0.0803,0.513
-0.0346,0.514
0.0105,0.515
0.0217,0.516
0.0532,0.517
0.1072,0.518
0.1635,0.519
0.225,0.52
0.2437,0.521
0.2655,0.522
0.2407,0.523
0.117,0.524
-0.153,0.525
-0.3945,0.526
-0.4245,0.527
-0.3945,0.528
-0.2858,0.529
-0.1238,0.53
-0.0533,0.531
0.012,0.532
0.0397,0.533
0.054,0.534
0.0825,0.535
0.0975,0.536
0.1237,0.537
0.1192,0.538
0.111,0.539
0.0922,0.54
0.0532,0.541
0.0,0.542
-0.0518,0.543
-0.0735,0.544
-0.0923,0.545
-0.0803,0.546
-0.0008,0.547
0.0375,0.548
0.036,0.549
0.0352,0.55
0.0157,0.551
0.0322,0.552
0.0622,0.553
0.093,0.554
0.123,0.555
0.165,0.556
0.2085,0.557
0.1987,0.558
0.1312,0.559
0.0082,0.56
-0.1515,0.561
-0.2881,0.562
-0.3653,0.563
-0.3765,0.564
-0.255,0.565
-0.0728,0.566
-0.0008,0.567
0.024,0.568
0.0607,0.569
0.0825,0.57
0.1252,0.571
0.177,0.572
0.2602,0.573
0.3172,0.574
0.3442,0.575
0.3052,0.576
0.051,0.577
-0.2483,0.578
-0.5063,0.579
-0.645,0.58
-0.4605,0.581
-0.1763,0.582
-0.0825,0.583
-0.039,0.584
0.0232,0.585
0.045,0.586
0.0772,0.587
0.0795,0.588
0.084,0.589
0.0847,0.59
0.0742,0.591
0.0847,0.592
0.1222,0.593
0.1942,0.594
0.2302,0.595
0.27,0.596
0.3847,0.597
0.4777,0.598
0.3892,0.599
0.1785,0.6
-0.0735,0.601
-0.3188,0.602
-0.4515,0.603
-0.5985,0.604
-0.651,0.605
-0.432,0.606
-0.2408,0.607
-0.1335,0.608
-0.0405,0.609
0.0097,0.61
0.0705,0.611
0.078,0.612
0.0907,0.613
0.114,0.614
0.1665,0.615
0.2302,0.616
0.2445,0.617
0.2865,0.618
0.348,0.619
0.3495,0.62
0.2062,0.621
-0.0323,0.622
-0.2723,0.623
-0.3173,0.624
-0.2438,0.625
-0.2655,0.626
-0.231,0.627
-0.2063,0.628
-0.1313,0.629
-0.0383,0.63
-0.0188,0.631
0.0517,0.632
0.0487,0.633
0.0615,0.634
0.0712,0.635
0.0592,0.636
0.069,0.637
0.0495,0.638
0.0502,0.639
0.042,0.64
0.0532,0.641
0.054,0.642
0.0472,0.643
0.0487,0.644
0.045,0.645
0.0562,0.646
0.0592,0.647
0.045,0.648
0.0502,0.649
0.0975,0.65
0.084,0.651
0.042,0.652
0.021,0.653
-0.0188,0.654
-0.0413,0.655
-0.0608,0.656
-0.1268,0.657
-0.159,0.658
-0.0968,0.659
-0.045,0.66
-0.0158,0.661
0.036,0.662
0.087,0.663
0.1477,0.664
0.168,0.665
0.1597,0.666
0.1335,0.667
0.1297,0.668
0.1102,0.669
-0.0256,0.67
-0.1763,0.671
-0.3278,0.672
-0.42,0.673
-0.3406,0.674
-0.2378,0.675
-0.2093,0.676
-0.0878,0.677
-0.0518,0.678
-0.0473,0.679
0.0825,0.68
0.072,0.681
0.078,0.682
0.0622,0.683
0.0052,0.684
0.0307,0.685
0.0682,0.686
0.1312,0.687
0.1477,0.688
0.153,0.689
0.1725,0.69
0.225,0.691
0.2415,0.692
0.1702,0.693
0.0442,0.694
-0.1065,0.695
-0.1665,0.696
-0.2085,0.697
-0.2806,0.698
-0.2648,0.699
-0.1396,0.7
-0.0248,0.701
0.0187,0.702
0.0465,0.703
0.0502,0.704
0.0547,0.705
0.057,0.706
0.0502,0.707
0.0712,0.708
0.093,0.709
0.1237,0.71
0.1552,0.711
0.1665,0.712
0.141,0.713
0.1372,0.714
0.123,0.715
0.0367,0.716
-0.1006,0.717
-0.2325,0.718
-0.2513,0.719
-0.222,0.72
-0.1411,0.721
-0.0563,0.722
-0.0495,0.723
-0.0743,0.724
-0.114,0.725
-0.084,0.726
-0.0181,0.727
0.0232,0.728
0.0615,0.729
0.1072,0.73
0.1552,0.731
0.165,0.732
0.1575,0.733
0.1522,0.734
0.1177,0.735
0.0555,0.736
-0.0608,0.737
-0.1935,0.738
-0.222,0.739
-0.1215,0.74
-0.0428,0.741
-0.0488,0.742
-0.045,0.743
-0.0278,0.744
-0.0098,0.745
-0.0008,0.746
-0.0173,0.747
-0.015,0.748
0.0082,0.749
0.0232,0.75
0.0412,0.751
0.0622,0.752
0.066,0.753
0.0727,0.754
0.0712,0.755
0.0375,0.756
0.0262,0.757
0.0195,0.758
0.0007,0.759
0.0052,0.76
