VaMe,time
-0.0713,0.001
-0.1028,0.002
-0.1343,0.003
-0.1358,0.004
-0.1073,0.005
-0.0608,0.006
0.0165,0.007
0.0885,0.008
0.1462,0.009
0.1837,0.01
0.1672,0.011
0.1057,0.012
0.054,0.013
0.024,0.014
0.012,0.015
0.0022,0.016
-0.0233,0.017
-0.0346,0.018
-0.0278,0.019
-0.0165,0.02
-0.0075,0.021
-0.0143,0.022
-0.0218,0.023
-0.0285,0.024
-0.054,0.025
-0.0856,0.026
-0.1193,0.027
-0.1305,0.028
-0.1208,0.029
-0.1058,0.03
-0.0706,0.031
0.0037,0.032
0.096,0.033
0.1417,0.034
0.1545,0.035
0.159,0.036
0.1162,0.037
0.0727,0.038
0.0465,0.039
0.0142,0.04
-0.0046,0.041
-0.0218,0.042
-0.0375,0.043
-0.0465,0.044
-0.0458,0.045
-0.039,0.046
-0.0338,0.047
-0.024,0.048
-0.0128,0.049
0.0015,0.05
0.0045,0.051
0.0067,0.052
0.006,0.053
-0.0075,0.054
-0.0225,0.055
-0.033,0.056
-0.0233,0.057
-0.021,0.058
-0.0278,0.059
-0.0293,0.06
-0.0368,0.061
-0.0458,0.062
-0.039,0.063
0.0052,0.064
0.0487,0.065
0.0585,0.066
0.0502,0.067
0.0322,0.068
0.0082,0.069
-0.0128,0.07
-0.0361,0.071
-0.054,0.072
-0.0338,0.073
0.0007,0.074
0.0202,0.075
0.045,0.076
0.078,0.077
0.1162,0.078
0.129,0.079
0.0832,0.08
0.024,0.081
0.0007,0.082
-0.015,0.083
-0.0278,0.084
-0.024,0.085
0.0022,0.086
0.0172,0.087
-0.021,0.088
-0.0608,0.089
-0.0743,0.09
-0.0856,0.091
-0.0818,0.092
-0.0645,0.093
-0.0315,0.094
0.0015,0.095
0.0405,0.096
0.0727,0.097
0.0705,0.098
0.0532,0.099
0.0307,0.1
0.0165,0.101
0.015,0.102
0.0097,0.103
0.0007,0.104
0.0045,0.105
0.009,0.106
0.003,0.107
0.0015,0.108
0.0022,0.109
-0.0008,0.11
-0.0113,0.111
-0.0195,0.112
-0.0293,0.113
-0.0495,0.114
-0.0728,0.115
-0.0788,0.116
-0.0713,0.117
-0.0638,0.118
-0.0278,0.119
0.0337,0.12
0.0817,0.121
0.081,0.122
0.0622,0.123
0.0555,0.124
0.0352,0.125
0.0135,0.126
0.0037,0.127
0.0052,0.128
0.0165,0.129
0.0165,0.13
0.0082,0.131
-0.006,0.132
-0.012,0.133
-0.0203,0.134
-0.0368,0.135
-0.0458,0.136
-0.0518,0.137
-0.048,0.138
-0.0368,0.139
-0.0143,0.14
-0.0083,0.141
-0.0158,0.142
-0.0046,0.143
0.0225,0.144
0.0615,0.145
0.0847,0.146
0.0705,0.147
0.039,0.148
-0.0083,0.149
-0.0615,0.15
-0.0953,0.151
-0.0968,0.152
-0.0795,0.153
-0.0578,0.154
-0.0173,0.155
0.0502,0.156
0.1042,0.157
0.09,0.158
0.0405,0.159
0.0225,0.16
0.0225,0.161
0.0157,0.162
-0.003,0.163
-0.024,0.164
-0.0203,0.165
-0.0083,0.166
-0.0143,0.167
-0.033,0.168
-0.0338,0.169
-0.0105,0.17
0.0142,0.171
0.0262,0.172
0.0112,0.173
-0.0083,0.174
-0.0143,0.175
0.0015,0.176
0.03,0.177
0.0585,0.178
0.0645,0.179
0.0442,0.18
0.0127,0.181
-0.027,0.182
-0.0533,0.183
-0.0578,0.184
-0.0525,0.185
-0.0098,0.186
0.0337,0.187
0.021,0.188
0.0142,0.189
0.0142,0.19
0.0195,0.191
0.0472,0.192
0.042,0.193
0.0337,0.194
0.024,0.195
0.0172,0.196
0.0142,0.197
-0.0105,0.198
-0.0218,0.199
-0.0338,0.2
-0.0511,0.201
-0.0675,0.202
-0.0706,0.203
-0.054,0.204
-0.0346,0.205
-0.0083,0.206
0.0142,0.207
0.0292,0.208
0.0382,0.209
0.03,0.21
0.0202,0.211
0.0225,0.212
0.0135,0.213
-0.0068,0.214
-0.0338,0.215
-0.063,0.216
-0.084,0.217
-0.0945,0.218
-0.0878,0.219
-0.0578,0.22
-0.0038,0.221
0.0435,0.222
0.0922,0.223
0.1222,0.224
0.1245,0.225
0.1125,0.226
0.0787,0.227
0.0517,0.228
0.0285,0.229
0.006,0.23
-0.024,0.231
-0.0383,0.232
-0.0405,0.233
-0.0511,0.234
-0.0518,0.235
-0.0503,0.236
-0.0361,0.237
-0.021,0.238
-0.0158,0.239
-0.012,0.24
-0.0173,0.241
-0.0293,0.242
-0.0278,0.243
-0.0135,0.244
0.0007,0.245
0.0187,0.246
0.0502,0.247
0.069,0.248
0.069,0.249
0.0495,0.25
0.0172,0.251
0.0112,0.252
0.0067,0.253
-0.003,0.254
-0.0165,0.255
-0.0511,0.256
-0.078,0.257
-0.0848,0.258
-0.078,0.259
-0.063,0.26
-0.039,0.261
0.006,0.262
0.0367,0.263
0.0165,0.264
-0.033,0.265
-0.0706,0.266
-0.066,0.267
-0.0323,0.268
0.0427,0.269
0.1417,0.27
0.1657,0.271
0.147,0.272
0.1305,0.273
0.099,0.274
0.0855,0.275
0.0645,0.276
